size,time,timePerSize
10000,278495.6,27.849559999999997
11000,317221.5,28.83831818181818
12000,353999.4,29.499950000000002
13000,389878.3,29.99063846153846
14000,431781.4,30.841528571428572
15000,466461.7,31.097446666666666
16000,505012.4,31.563275
17000,545219.0,32.071705882352944
18000,585801.7,32.54453888888889
19000,652247.8,34.32883157894737
20000,667913.9,33.395695
21000,709256.8,33.77413333333334
22000,770759.0,35.0345
23000,798773.4,34.72927826086956
24000,844734.5,35.197270833333334
25000,911915.5,36.47662
26000,941611.4,36.21582307692308
27000,994749.6,36.84257777777778
28000,1069061.3,38.18076071428572
29000,1144570.7,39.46795517241379
30000,1195231.5,39.84105
31000,1212891.4,39.125529032258065
32000,1272391.2,39.762225
33000,1363677.6,41.32356363636364
34000,1368041.4,40.23651176470588
35000,1422451.3,40.641465714285715
36000,1472244.5,40.89568055555556
37000,1540983.2,41.64819459459459
38000,1578649.8,41.543415789473684
39000,1681695.9,43.12040769230769
40000,1739007.9,43.4751975
41000,1792084.3,43.70937317073171
42000,1798431.5,42.81979761904762
43000,1893391.3,44.03235581395349
44000,1918531.1,43.602979545454545
45000,2012258.5,44.716855555555554
46000,2098212.4,45.61331304347826
47000,2076705.8,44.18522978723404
48000,2136362.5,44.50755208333333
49000,2211791.3,45.13859795918367
50000,2253407.7,45.06815400000001
51000,2391763.6,46.89732549019608
52000,2478296.1,47.65954038461538
53000,2419284.0,45.6468679245283
54000,2483641.0,45.993351851851855
55000,2529693.8,45.994432727272724
56000,2599288.7,46.415869642857146
57000,2654883.6,46.5769052631579
58000,2714071.1,46.79432931034483
59000,2799950.4,47.456786440677966
60000,2833732.9,47.228881666666666
61000,2906163.4,47.64202295081967
62000,2954224.1,47.64877580645162
63000,3013121.8,47.827330158730156
64000,3090334.4,48.286474999999996
65000,3166246.2,48.71148
66000,3214058.8,48.6978606060606
67000,3305466.4,49.33531940298507
68000,3433894.3,50.49844558823529
69000,3429259.5,49.69941304347826
70000,3509174.0,50.131057142857145
71000,3595542.0,50.64143661971831
72000,3650152.7,50.69656527777778
73000,3739354.7,51.22403698630137
74000,3822032.4,51.64908648648648
75000,3869038.3,51.58717733333333
76000,3957323.3,52.07004342105263
77000,4024767.3,52.26970519480519
78000,4091287.2,52.452400000000004
79000,4250834.1,53.80802658227848
80000,4275607.3,53.44509125
81000,4329083.4,53.44547407407408
82000,4445658.7,54.21535
83000,4499273.4,54.20811325301205
84000,4526374.5,53.88541071428571
85000,4626477.8,54.429150588235295
86000,4702771.2,54.68338604651163
87000,4779182.8,54.933135632183905
88000,4866699.2,55.3034
89000,4986051.8,56.02305393258427
90000,5050886.6,56.12096222222222
91000,5129383.0,56.366846153846154
92000,5199387.3,56.51507934782609
93000,5303795.2,57.030055913978494
94000,5342914.3,56.83951382978723
95000,5464848.8,57.524724210526315
96000,5506423.5,57.358578125
97000,5546801.6,57.18352164948453
98000,5637914.7,57.52974183673469
99000,5738452.3,57.964164646464646
100000,5758094.3,57.580943
