size,time,timePerSize
1000,96747.5,96.7475
1100,49486.1,44.98736363636363
1200,53570.4,44.642
1300,57545.3,44.26561538461539
1400,62176.6,44.411857142857144
1500,78331.7,52.221133333333334
1600,70564.2,44.102624999999996
1700,76873.0,45.21941176470588
1800,80702.2,44.83455555555555
1900,83692.5,44.04868421052632
2000,89053.0,44.5265
2100,94377.2,44.94152380952381
2200,90001.2,40.90963636363636
2300,85442.7,37.149
2400,89928.2,37.470083333333335
2500,79680.9,31.872359999999997
2600,80082.3,30.800884615384618
2700,82379.6,30.510962962962964
2800,86208.5,30.78875
2900,88651.9,30.56962068965517
3000,125702.5,41.90083333333333
3100,128911.6,41.58438709677419
3200,132995.9,41.561218749999995
3300,137773.2,41.74945454545455
3400,140836.8,41.422588235294114
3500,143644.5,41.04128571428571
3600,150208.9,41.724694444444445
3700,155168.1,41.93732432432433
3800,160565.4,42.25405263157894
3900,165670.7,42.47966666666667
4000,167129.3,41.782325
4100,174130.9,42.470951219512195
4200,174532.2,41.555285714285716
4300,176173.2,40.97051162790698
4400,176209.8,40.047681818181815
4500,183430.1,40.76224444444445
4600,185399.3,40.30419565217391
4700,192948.2,41.0528085106383
4800,195391.6,40.706583333333334
4900,205493.0,41.93734693877551
5000,209468.0,41.8936
5100,216032.1,42.359235294117646
5200,217928.4,41.90930769230769
5300,222304.4,41.94422641509434
5400,224565.4,41.58618518518519
5500,241157.8,43.846872727272725
5600,244987.1,43.74769642857143
5700,246555.2,43.255298245614036
5800,244914.1,42.226568965517245
5900,253301.5,42.932457627118644
6000,260084.4,43.3474
6100,263767.7,43.24060655737705
6200,273832.9,44.16659677419355
6300,275911.3,43.79544444444444
6400,284116.5,44.393203125
6500,291045.1,44.77616923076923
6600,293962.7,44.539803030303034
6700,302641.7,45.17040298507463
6800,307382.4,45.20329411764706
6900,316608.7,45.885318840579714
7000,286268.0,40.895428571428575
7100,260047.9,36.62646478873239
7200,259464.6,36.03675
7300,247138.6,33.854602739726026
7400,228576.7,30.888743243243244
7500,231238.9,30.83185333333333
7600,213734.5,28.12296052631579
7700,210416.1,27.326766233766236
7800,215594.3,27.64029487179487
7900,219459.9,27.77973417721519
8000,221392.7,27.674087500000002
8100,224565.5,27.724135802469135
8200,229306.3,27.964182926829267
8300,237073.8,28.56310843373494
8400,237839.5,28.31422619047619
8500,239699.2,28.199905882352944
8600,242215.5,28.164593023255815
8700,246263.3,28.306126436781607
8800,249983.0,28.40715909090909
8900,254869.5,28.63702247191011
9000,257531.8,28.614644444444444
9100,262163.0,28.80912087912088
9200,264606.5,28.76157608695652
9300,267596.6,28.773827956989244
9400,271316.4,28.86344680851064
9500,275655.8,29.016399999999997
9600,280542.5,29.223177083333333
9700,285283.4,29.410659793814435
9800,287544.2,29.341244897959186
9900,287799.6,29.070666666666664
10000,291190.9,29.119090000000003
