size,time,timePerSize
1000,88275.7,88.2757
1100,38471.8,34.97436363636364
1200,43649.2,36.37433333333333
1300,46295.5,35.61192307692308
1400,47751.4,34.10814285714286
1500,52812.9,35.208600000000004
1600,55038.3,34.3989375
1700,59267.2,34.86305882352941
1800,61407.0,34.115
1900,67886.4,35.729684210526315
2000,68672.7,34.336349999999996
2100,71746.8,34.16514285714286
2200,74944.5,34.065681818181815
2300,68887.7,29.951173913043476
2400,30240.4,12.600166666666667
2500,31353.9,12.54156
2600,40690.8,15.650307692307694
2700,42474.4,15.731259259259259
2800,44898.8,16.035285714285717
2900,45996.5,15.860862068965517
3000,45862.4,15.287466666666667
3100,40463.9,13.052870967741937
3200,41708.3,13.03384375
3300,42384.5,12.843787878787879
3400,43636.6,12.834294117647058
3500,44341.7,12.669057142857142
3600,46462.9,12.906361111111112
3700,47531.8,12.846432432432433
3800,47484.3,12.495868421052633
3900,48516.0,12.44
4000,50569.0,12.64225
4100,51387.2,12.533463414634145
4200,52853.2,12.584095238095237
4300,54230.3,12.611697674418606
4400,56717.7,12.890386363636363
4500,56666.0,12.592444444444444
4600,58631.6,12.746
4700,61059.1,12.991297872340425
4800,60293.0,12.561041666666666
4900,62409.5,12.736632653061225
5000,63732.7,12.74654
5100,64665.6,12.679529411764706
5200,68539.5,13.180673076923076
5300,67849.9,12.8018679245283
5400,70129.4,12.986925925925926
5500,71405.7,12.982854545454545
5600,74059.8,13.224964285714286
5700,74564.8,13.081543859649123
5800,76248.9,13.146362068965516
5900,77740.1,13.176288135593222
6000,79173.6,13.1956
6100,80105.2,13.132
6200,83042.2,13.39390322580645
6300,83211.7,13.208206349206348
6400,84814.4,13.252249999999998
6500,86923.1,13.372784615384615
6600,88139.4,13.354454545454544
6700,91099.4,13.596925373134328
6800,91332.3,13.431220588235295
6900,92309.2,13.378144927536232
7000,94291.6,13.470228571428573
7100,96440.4,13.583154929577464
7200,97795.9,13.582763888888888
7300,98594.2,13.506054794520548
7400,100719.0,13.610675675675676
7500,103420.4,13.789386666666665
7600,103166.0,13.574473684210526
7700,105396.5,13.687857142857142
7800,109718.1,14.066423076923078
7900,108379.3,13.718898734177216
8000,111187.4,13.898425
8100,110855.5,13.685864197530865
8200,114324.0,13.941951219512195
8300,114822.2,13.834
8400,116656.4,13.887666666666666
8500,119056.6,14.006658823529412
8600,118715.1,13.804081395348838
8700,123207.6,14.161793103448277
8800,121932.5,13.855965909090909
8900,122691.0,13.785505617977527
9000,124239.1,13.804344444444444
9100,126917.5,13.946978021978023
9200,126183.3,13.715576086956522
9300,129233.5,13.896075268817205
9400,129708.6,13.798787234042553
9500,131550.0,13.847368421052632
9600,132895.2,13.843250000000001
9700,134246.9,13.839886597938143
9800,135897.0,13.867040816326531
9900,136198.9,13.757464646464646
10000,138169.5,13.81695
